SKU,Description,Item_Category,Original_Price,Optimized_Price,Price_Change_Pct,Original_Qty,Optimized_Qty,Qty_Change_Pct,Original_Revenue,Optimized_Revenue,Revenue_Change_Pct,Customer_Category
1030.0,,Raw,7.65,13.310999999999972,73.99999999999962,636.0,15502.81938746066,2337.550218154192,4865.400000000001,206358.0288664884,4141.337379588284,All Categories
1158.0,,Raw,17.55,30.536999999984225,73.99999999991012,10.0,249.91019824038622,2399.101982403862,175.5,7631.507723662732,4248.437449380474,All Categories
1032.0,,Raw,7.65,13.310999999999131,73.99999999998863,492.0,5195.58926067794,956.014077373565,3763.8,69158.48864887955,1737.4644946298833,All Categories
1033.0,,Raw,6.6,11.154000000003174,69.00000000004812,420.0,0.0,-100.0,2772.0,0.0,-100.0,All Categories
1034.0,,Raw,6.6,11.154000000018371,69.00000000027835,180.0,1202.2136487244222,567.8964715135679,1188.0,13409.491037894291,1028.7450368597888,All Categories
1162.0,,Raw,8.28,14.407199999996202,73.99999999995414,24.0,0.0,-100.0,198.71999999999997,0.0,-100.0,All Categories
1163.0,,Raw,8.28,13.993200000013264,69.0000000001602,12.0,46.36771091446387,286.3975909538656,99.35999999999999,648.8326523688909,553.0119287126519,All Categories
1037.0,,Raw,8.4,14.615999999999802,73.99999999999764,336.0,1275.765335070688,279.69206400913333,2822.4,18646.586137392926,560.6641913758831,All Categories
1166.0,,Raw,8.28,13.993200000010333,69.0000000001248,12.0,43.204107759140996,260.03423132617496,99.35999999999999,604.5637206956582,508.457850941685,All Categories
1707.0,,Other,2.55,4.436999999999999,74.0,40.0,254.28550013189505,535.7137503297376,102.0,1128.264764085218,1006.1419255737432,All Categories
